companyid,text,category,year
C902418355,"Provides oilfield wire line services. The Company's services include logging services, pipe recovery, perforating, slick line services, snubbing and tagging. It also offers high temperature, sour gas, deviated wellbore and pump-down services. ",mining,1983
C902425272,"Wapiti Energy LLC, headquartered in Houston, Texas, is an oil and gas company.",mining,2000
C902428133,"Spartan Offshore Drilling, LLC is a United States-based company that provides offshore rig services. The Company provides jack-up well drilling, workover and completion services throughout the Gulf of Mexico. Its jack-up rig fleet consists of four deep well jack-up drilling rigs ranging from 2,000 to 3,000 HP. ",mining,2001
C902434568,"Augustus Energy Partners L L C is a United States-based company, which provides oil and gas exploration services. The Company engages in acquisition and development of oil and gas properties in the Rocky Mountain and mid-continent regions.",mining,2006
C902452786,"SDG Resources, L.P. operates as a petroleum and natural gas investment and development company based in Elkhart, Texas. ",mining,
C902458880,"Operates as an oil and gas production company. The Company is a subsidiary of Patrick Petroleum, LLC, an oil and gas development and production company founded in 1998. Diamondback has assembled an approximately 40,000 acre position in the Rock Springs project in Edwards and Real counties in the Kerr Basin of Southwest Texas. Diamondback produces gas in the Wolfcamp coalbed methane seams as well in the Canyon Sands in the Rock Springs project. ",mining,2006
C902463266,"Engages in domestic oil and gas exploration, development, and production, principally in the Permian Basin in Western Texas and Eastern New Mexico. Activities are carried out through private drilling programs organized as limited partnerships and with various oil and gas related companies.  ",mining,1978
C902486978,"Prince Mineral Holding Corporation is a United States-based company that operates as processor and value-added distributor of specialty mineral products and additives for numerous industrial and agricultural applications. The Company provides packaging, drying, milling, granulating, calcining, blending and mixing services together with research and development capabilities. Its products are used in bricks, refractories, glass, ceramics, foundries, cement, steel, and numerous other industrial and agricultural applications. Its products include agriculture, battery, brick and tile, enamel coatings, energy, glass, metallurgical and specialties' & industrials.",mining,1858
C902491518,Provides exploration services. The Company plans to drill several exploratory wells targeting Deep Bossier sands outside of Amoruso Field. ,mining,2003
C902494339,"NorTex Gas Storage Company LLC is a United States-based Company, which owns and operates natural gas storage facilities. The Company provides services mainly to power producers, electric and gas utilities, energy traders, gas producers and other energy firms. It has two operating gas storage facilities, Hill-Lake and Worsham-Steed that are located in Eastland County, Texas. Hill-Lake offers storage, peaking and load-following services, parking, loaning and balancing services. Worsham-Steed Storage is a depleted oil and gas reservoir strategically located near large reserves of natural gas as well as the rapidly expanding gas-fired power generation market serving the greater Dallas/Ft. Worth metroplex. ",mining,2001
C902501202,"Reef Services LLC, also known as Reef Chemical Corporation, is a United States-based company, which provides chemical sales and solutions to the oil, gas, mining and quarry industries. The Company provides services and chemical for oilfield production and stimulation, pipeline transmission, remediation, water management, mining and quarry. Its services provide customers with the ability to return non-producing wells to productivity and to maximize well output. Its products include production chemicals, stimulation additives, water treating chemicals, drilling fluid additives, and pipeline chemicals, such as biocides, corrosion and scale inhibitors, specialty products, and friction reducers. ",mining,1976
C902501205,"Seminole Energy Services, LLC is the United States-based Company, which provides natural gas marketing services. The Company engages in gathering, purchasing, and selling natural gas to commercial and industrial customers in Oklahoma, Kansas, and Texas Panhandle regions. The Company offers gas gathering and compression, natural gas processing, and wellhead purchasing services, as well as treating services, including H2S, CO2, nitrogen, and hydrocarbon dew point control. It also provides consulting services for regulatory issues, risk management strategies, severance tax audits, transportation agreement analysis, well connect/transportation negotiations, and review and administration of third-party agreements. ",mining,1998
C902506528,"Jones Energy, Ltd. is a United States-based company, which provides oil and gas exploration services. The Company is an independent natural gas exploration and production firm focuses on horizontal drilling, subsurface methods, and 3D seismic systems. It provides services in the development and implementation of exploration methods through ideas such as combining PDC bits with motors and running packers. It has offices in Texas Panhandle, Western Oklahoma, Southern Oklahoma, Canadian and Albany. ",mining,1988
C902512220,"Manufactures ethyl & ethanol alcohol. The Company is an ethanol project developer, owner and operator focused on the utilization of low-value waste feedstocks to produce renewable transportation fuel and valuable bio-products. ",mining,2005
C902523160,"Provides oilfield services including pressure pumping services. The Company was formed by merging together two existing service companies, Jet-Star Co. and Rio Pumping Services, Inc.  ",mining,2005
C902529331,"GTM Energy Partners LLC engages in coal mining. The Company recovers, produces, processes, transports, and sells coal and coal products. It owns and operates four registered surface mines. The Company is categorized under High Energy Rate Metal Forming Machines ",mining,2007
C902539683,"Unitex Oil and Gas LLC is a United States-based upstream exploration and production company. The Company seeks to acquire conventional oil assets in the Permian Basin. The company's current production is in Scurry, Mitchell and Garza counties. ",mining,2003
C902546824,"Stonegate Production Company, LLC is the United States-based Company, which operates as an oil and gas exploration and production company in Texas, Oklahoma, New Mexico, Kansas, and Louisiana. ",mining,2007
C902551811,"Produces oil and gas reserves. The Company explores, develops, and produces oil and gas reserves particularly in the onshore Gulf Coast regions of Texas and Louisiana. Milagro was formed by the former senior management team of Mission Resources Inc.  ",mining,2005
C902573285,"Operates as an oil and gas company. The Company acquires, operates, and develops producing oil properties located in the Permian Basin of West Texas. Juno Energy's properties are candidates for secondary recovery through a comprehensive waterflood program, which is expected to increase current production and reserve value. ",mining,2006
C902634295,"Patriot Coal Corporation (Patriot) is a producer of thermal coal in the eastern United States, with operations and coal reserves in the Appalachia coal region. Patriot is also a United States producer of metallurgical quality coal. Its principal business is the mining and preparation of thermal coal or steam coal, for sale primarily to electricity generators, and metallurgical coal, for sale to steel mills and independent coke producers. The Appalachia Basin segment consists of its operations in West Virginia. It controls approximately 1.9 billion tons of proven and probable coal reserves. In July 2012, the Company and substantially all of its wholly owned subsidiaries filed voluntary petitions for reorganization under Chapter 11 of the Bankruptcy Code in the Bankruptcy Court for the Southern District of New York. The Kanawha Eagle complex, which is contractor-operated, is located in southern West Virginia and is sourced by three underground mines.",mining,2006
C902638038,"Rockwater Energy Solutions, Inc. is a United States-based company, which provides fluids management and environmental solutions to the energy industry. The Company offers customized products and services to the water, stimulation, fracturing, fluids, and production needs of its customers throughout the United States and Western Canada. It provides a selection of chemical technologies, including polymer slurries and specialty chemicals, for oilfield applications. The Company provides services, such as Water Management, Fluids Network Design, Stimulation Chemicals, Fracturing Additives , Guar Technologies, Water Treatment, Water Transfer, Flowback, Well Testing, Field Fluids Logistics and Production Chemicals. ",mining,2011
C902638289,"Genscape, Inc. is a United States-based company, which offers market insight and intelligence for the global commodity and energy markets. The Company measures market fundamentals using a network of land, sea and satellite monitors deployed across the world. The Company's solutions include supply chain monitoring and intelligence, transportation and storage for the oil sector; North America market forecasting, Europe market forecasting and North America real-time monitoring for the power sector; intrastate storage monitoring, daily supply and demand report, natural gas infrastructure intelligence and natural gas regional basis reports for the natural gas sector; Genscape Vesseltracker and Middle East crude waterborne report for the maritime sector; ethanol supply chain services and LandViewer for the agriculture and biofuels sector, and ethylene cracker monitoring alerts, fractionator monitoring service and natural gas liquids (NGLs) Week for the petrochemical and NGLs sector.",mining,1999
C902647916,"Active Minerals International, LLC is the United States-based Company that provides industrial mineral solutions. The Company produces and markets kaolin and gel quality attapulgite clay minerals. The Company offers attapulgites, colemanites, fluorspars, kaolins, silica, vermiculite, geo-synthetic textiles, silica fumes, abrasives and cellulosic fibers. It provides its products to adhesives, agriculture, catalyst, ceramic, concrete, drilling, fiberglass, glass, joint compound, paint and coatings, roofing, rubber, sealants, and wallboard industries through a network of distributors in the United States and internationally. It produces Acti-Gel 208, which is a purified hydrous magnesium aluminum-silicate. It is a Thixotropic anti-settling agent and rheology modifier used in a variety of water based industrial applications. It works in salt and brackish water. It also provides Acti-Plex, which is a pool plaster additive.",mining,1964
C902696562,"SandRidge Energy, Inc. is an oil and natural gas company. The Company focuses on exploration and production activities in the Mid-Continent and Rockies regions of the United States. As of December 31, 2016, the Company had 3,122 gross producing wells and approximately 1,364,000 gross total acres under lease. The Company's primary areas of operation are the Mid-Continent area of Oklahoma and Kansas and the Niobrara Shale in the Colorado Rockies. As of December 31, 2016, the Company held interests in approximately 1,185,000 gross leasehold acres located primarily in Oklahoma and Kansas. As of December 31, 2016, the Company's interests in the Mid-Continent included 1,972 gross producing wells. As of December 31, 2016, the Company had approximately 1,087,000 gross acres under lease and 1,471 gross producing wells in the Mississippian formation. As of December 31, 2016, the Company's Rockies properties consisted of approximately 140,000 gross acres and 25 gross producing wells.",mining,1984
C902721673,"Operates oil and gas production properties. Anglo-Suisse Offshore Partners owns Anglo-Suisse Offshore Pipeline Partners (ASOPP), which owns oil and gas pipelines as well as onshore processing facilities. The Company's strategy is to focus its technical and operating expertise to enhance and exploit mature properties in the outer continental shelf. ",mining,2004
C902725054,"Dominion Minerals Corp., formerly Empire Minerals Corp., is engaged in the acquisition, exploration, development and operation of mineral and natural resource properties and prospects. The activities are concentrated on mineral prospects and properties located in the Republic of Panama and in the People's Republic of China.",mining,1990
C902732587,Provides coal mining related services.  ,mining,
C902735090,"H&M Oil & Gas, LLC is a United States-based company, which engages in the development and production of oil and gas. ",mining,
C902736632,Operates as a biodiesel energy company. Caitlin aims to produce biodiesel in a more economical and environmental way.  ,mining,2007
C902758123,"Operates as an energy company engaged in the exploration, development, exploitation, production and acquisition of unconventional natural gas and oil properties onshore in the United States and Western Canada. The Company focuses its growth efforts primarily on finding and developing natural gas reserves in known tight gas sands and shale areas. The Company currently operates in Texas, New Mexico and Kentucky and has a non-operating interest in Western Canada.  ",mining,2002
C902778234,"BlueStone Natural Resources, LLC is a United States-based company, which acquires and exploits drilling and acquisition opportunities for oil and natural gas. The Companys areas of focus are South and East Texas. ",mining,2006
C902784195,"Maxum Petroleum Holdings, Inc. is an independent energy logistics company that markets and distributes refined petroleum products and provides value-added logistics and energy management services to a diverse customer base in the United States and the Panama Canal. The Company provides a range of fuels, lubricants, oil and gas production chemicals and energy management services, such as remote and sensitive location delivery, onsite equipment monitoring and maintenance, fuel management programs, cost control programs, environmental services and equipment leasing. The Company's products are divided into three categories: Fuel (Diesel and Gasoline), Lubricants, and Services and Other. In January 2006, the Company acquired Hartney Fuel Oil Co. In June 2006, it acquired the assets of McLain Truck Service, Inc. In September 2006, it acquired Pecos, Inc. In September 2006, it acquired Canyon State Oil Company, Inc.",mining,2007
C902820272,"Stroud Energy, Inc. (Stroud) is an independent energy company engaged in the acquisition, development, exploitation, exploration and production of natural gas and oil. The Company's operational focus is primarily concentrated in the Fort Worth Basin (Barnett Shale formation), the central Gulf Coast Basin (Austin Chalk formation) and the East Texas Basin (Cotton Valley Sands formation). From January 1, 2003 through December 31, 2005, Stroud has drilled and completed 51 wells. The Company's average net production was 23.9 millions of cubic feet equivalent (MMcfe) per day during the year ended December 31, 2005. As of December 31, 2005, Stroud had 204 identified drilling locations, 84 of which were located in the Barnett Shale and 79 of which were located in East Texas. On July 27, 2005, the Company acquired natural gas assets located in the Barnett Shale in Denton County, Texas.",mining,2000
C902821099,"The company operates as an acquisition and oil and gasexploitation company based in Midland, Texas primarily focused on growing its reserve base in the Permian Basin of West Texas and Southeastern New Mexico. ",mining,1999
C902828229,"Peregrine develops and produces hydrocarbons. The Company focuses on generating, acquiring, developing and operating low to moderate risk drilling and exploitation prospects within the Gulf of Mexico continental shelf. ",mining,2004
C902835397,"LUCA Technologies, Inc. is a United States-based energy company that uses biotechnology to create and produce natural gas. The Company's technology stimulates native microorganisms that reside in subsurface hydrocarbon deposits, such as coal, oil, and organic-rich shales, to accelerate the bioconversion of such resources into methane, the principal component of natural gas, which it produces and sells using existing infrastructure. It focuses on using its restoration process to convert coal into methane by restoring subsurface habitats to enhance the creation and production of natural gas. The Company's geographic area of activity, and the only area in which the Company owns and operates wells, is the Powder River Basin (PRB). Its subsidiaries include Patriot Energy Resources LLC and Patriot Energy Gathering LLC. ",mining,2003
C902836059,"New Century Exploration, LLC is a United States-based oil and gas, exploration and production company. The Company is engaged in exploration, development and production of Eastern Eagle Ford and horizontal development of other tight formations. The Eastern Eagle Ford project is in the early development stage. The Eastern Eagle Ford project covers an area of approximately 10,000 acres. The Company's portfolio includes approximately 80 additional locations.",mining,2014
C902857342,"Laredo Petroleum, Inc. is an exploration and production company. It operates as an oil and gas company. The Company is focused on the acquisition, exploration and development of oil and gas properties in the Mid-Continent and Permian Basin regions in the United States. It acquires and develops both natural gas and oil reserves and strategic gathering systems. The Company explores for hydrocarbons, make strategic acquisitions and participate in drilling joint ventures. ",mining,2006
C902865685,"Advanced Rig Systems LLC provides packages and services for drilling rigs. The Company provides rig packages, rig up services, and manufacturing facilities for land and offshore based drilling rigs. ARS currently has 6 Rig pads stabilized with crushed concrete and rock. ARS offers on site blasting and painting, experienced rig welders, and seasoned roughnecks, drafting, engineering, and project management. ",mining,2005
C902866098,"Alta Resources, LLC is a United States-based oil and gas exploration company. The Company is focused on the exploration of oil and gas assets from the Fayetteville Shale in Arkansas and the Marcellus Shale in Pennsylvania to the liquids-rich Duvernay Shale play in the Kaybob area of Alberta, Canada. The Company's position covers approximately 547,000 gross and 239,000 net acres producing natural gas from approximately 900 wells in the Marcellus Shale across Bradford, Wyoming, Sullivan, Lycoming, Clinton and Centre counties in Northeast Pennsylvania.",mining,1999
C902880049,"Indigo Minerals LLC is a United States-based natural gas and natural gas liquids company. The Company is a natural gas producer in North Louisiana, focused on developing the Haynesville Shale, the Cotton Valley formation, the Holly Vaughn, and the Bossier Shale formations.",mining,2006
C902881278,"Highland Oil & Gas LLC is a United States-based Company that operates as an independent natural gas Company. The Company focuses on the acquisition and exploration of conventional natural gas resources in Arkansas, Oklahoma and Texas. It seeks to acquire and explore for gas in the Arkoma and Anadarko basin. ",mining,
C902884858,"WestMountain Gold, Inc. is an exploration-stage mining company. The Company is focused on gold projects. The Company holds interests in Terra Mining Corporation (TMC). TMC's subsidiary, Terra Gold Corporation (TGC), is focused on mineral production from mineralized material at a gold system called the TMC project in the state of Alaska. The TMC project consists of approximately 340 Alaska state mining claims, including over five unpatented lode mining claims covering approximately 220 square kilometers. The TMC project lies approximately 200 kilometers west-northwest of Anchorage. The TMC project is centered on an eight-kilometer-long trend of gold vein occurrences. The TMC project has haul roads, a mill facility and adjoining camp infrastructure, a tailings pond and other infrastructure.",mining,2007
C902895590,"Cooke produces uranium and gold resources. The Company, based in South Africa, was formerly the uranium and gold assets known as the Cooke Section and owned by Randfontein Estates, Ltd., a subsidiary of Harmony Gold Mining Company, Ltd. The Cooke assets are comprised of three operational gold mines, a gold milling plant, a large tailings dump with uranium content as well as lower-grade gold and uranium dumps. ",mining,
C902911176,"Operates as an oil & gas exploration company focused on exploration, exploitation, acquisition, and production of oil and gas reserves. The Company is focused ont the following areas: The Lobo / Expanded Wilcox trend in the Zapata Counties, Texas, and The Barnett Shale trend in North Texas.  ",mining,2002
C902914718,"Sagebrush Resources LLC operates as an oil and natural gas exploration and development Company focused on the acquisition, development and exploration of oil and natural gas in the Rocky Mountains. ",mining,2007
C902916117,Vanguard Stimulation Services LLC operates as an oil and gas field services company. The Company designs and implements fracture stimulations to enhance the recovery of oil and natural gas in shale reservoirs. It enhances production by using unconventional methods. Fracture stimulation involves the high-pressure injection of engineered fluids into a target interval within the well bore to create fractures in the surrounding formation. Vanguard Stimulation Services LLC is a division of Vanguard Energy Group. ,mining,2007
C902921049,Potoco LLC is a United States-based company that provides oil and gas exploration services. The Company offers support activities for oil and gas operations. ,mining,
C902921551,"ConocoPhillips Company, headquartered in Houston, Texas, is an oil and natural gas production service provider.",mining,1917
C902926764,"Provides natural gas gathering, dehydration and compression services for producers in DeSoto Parish, Louisiana, and Shelby County, Texas. The Company's gathering system consists of 80 miles of low- and high-pressure gathering pipelines and is currently gathering over 110 MMCF per day from approximately 500 wells. ",mining,1986
C902931010,"Corsa Coal Corp. (Corsa) is a United States-based supplier of metallurgical coal, an ingredient in the production of steel, and thermal and industrial coal used by transportation-advantaged customers in the Southeast region of the United States. Corsa's business is supplying metallurgical coal to domestic steel producers while being a strategic source of supply in the Atlantic and Pacific basin markets. Corsa operates through three segments: Northern Appalachia Division (NAPP), Central Appalachia Division (CAPP) and Corporate. NAPP is based in Somerset, Pennsylvania, United States and is primarily focused on metallurgical coal production in the states of Pennsylvania and Maryland. Corsa markets and sells its NAPP coal to customers in North America, Europe, South America and Asia. CAPP is based in Knoxville, Tennessee, United States and is focused on thermal and industrial coal production in the Central Appalachia coal region and sales in the southeastern region of the United States.",mining,2007
C902932043,"Little Red Services, Inc. provides oil field services on the North Slope of Alaska. ",mining,1984
C902933522,"Prize Petroleum, LLC is a United States-based oil and gas exploration and development company. The Company has assets in East Texas, North Louisiana and Michigan. ",mining,
C902934816,"Anchor Drilling Fluids, USA, Inc. provides drilling fluids and fluid-handling services for onshore oil and gas drilling. The Company provides customization and testing of drilling fluids for HTHP filtration, rheology profiles, pilot testing, chemical analysis, water analysis and other applications. It offers services such as drilling fluid products, manufacturing and logistics, customized drilling fluid engineering services, vacuum truck services, well-site equipment rental, completion fluids, closed-loop solids control, production chemicals and environmental chemicals. ",mining,1970
C902936264,"Kanawha River Terminals, LLC operates five coal river terminals. The Company operates river terminals that engage in transloading, blending, and storing coal and asphalt. The Company was incorporated in 1986 and is based in Ceredo, West Virginia. ",mining,1986
C902936304,"Operates as a drilling company. The Company owns one 14,000 capacity drilling rig working in south Louisiana and one specially equipped completion/drilling rig specializing in horizontal underbalanced drilling. This rig operates in Louisiana and Texas.  ",mining,
C902936367,"PBF Energy Partners is a United States-based company, which owns and operates oil refineries and related facilities. The Company operates as an independent petroleum refiners and suppliers of unbranded transportation fuels, heating oil, petrochemical feed stocks, lubricant base oils and other petroleum based products in the United States. Its outbound modes of transport include pipeline, rack via PBF owned and 3rd Party terminals, and waterborne. The Company has its operating oil refineries and related facilities in Delaware City, Delaware; Paulsboro, New Jersey; and Toledo, Ohio. ",mining,2008
C902939185,"Foresight Reserves, L.P. is a United States-based company, which develops and operates coal mines and related infrastructure. The through its subsidiaries, Foresight owns or controls more than three billion tons of coal reserves in the Illinois and Northern Appalachian coal basins. Foresight ",mining,2004
C902940296,"DHI Services, Inc. is a United States-based company, which provides mud logging and formation evaluation services (FE) for oil, gas and geothermal exploration companies. The Company provides geo-thermal mud logging, rig instrumentation enhanced data rate, online rig communications, well-site geologists, pore pressure, gas characterization, hydrogen sulfide monitoring, and technology-related issue resolution services. The Company offers also DrillSense Electronic Drilling Recorder (EDR), a hardware/software platform to build FE systems. ",mining,2006
C902945526,"T.A.W., Inc. provides oil field services. The Company provides a variety of environmental and construction services, equipment and personnel to independent and exploration and production companies throughout Arkansas, Oklahoma, Texas, Mississippi, Alabama and Kansas. ",mining,1967
C902947199,"Denali Oil & Gas acquire, exploits, and explores oil and gas in South Texas. The Company has been formed by Quantum Energy Partners, Energy Trust Partners, Walter Oil & Gas Corp. and Denali management to focus on acquiring oil and natural gas properties with significant drilling potential and values ranging up to $300 million, in addition to exploration. ",mining,2003
C902947939,"Trail Ridge Energy Partners LLC operates as an oil and natural gas exploration company. The Company is focused on the acquisition, development and exploration of oil and natural gas in the Mid-continent region of the United States. ",mining,
C902954588,"Rockwater Energy Solutions, Inc. is a United States-based company that operates as fluids and environmental solutions provider. The Company offers customized products and services to the water, stimulation, fracturing, fluids, and production needs of customers throughout the United States and Western Canada. It offers customized fluids management systems to its oil and gas customers with operations in North American basins. It offers fluids management services that include water transfer, flowback and well testing, and field fluids logistics. It also offers a full suite of specialty oilfield products for water treating, well stimulation, fracturing, production, cementing, remediation, and other energy industry applications. Its fluids technologies include providing completion and stimulation products; production and specialty chemicals; and fluids conditioning. It also provides environmental solutions to provide fluids conditioning for onsite water reuse in the oilfield. ",mining,2011
C902959024,"Virginia Explosives and Drilling Company, Inc. provides outsourced drilling and blasting services to the coal mining industry in the Central Appalachia region. ",mining,
C902962088,"TriDimension is a United States-based company, which operates as an oil and gas exploration company. The Company's focus is on finding oil in existing fields and redeveloping historic fields by restoring wells to production, recompleting wells in previously tested reservoirs, and drilling new wells. Its office are located at Louisiana and Mississippi. It is developing Catahoula Lake, a 35,000 acre inland water body, where it currently operates three fields and own the only drilling/workover barge. It has operations in Mississippi AMI, Catahoula Lake, Weyerhaeuser Area, Southern Louisiana AMI and Breton Sound. ",mining,2006
C902973762,Operates as an oilfield service company. The Company offers a complete engineering support service assisting with project planning and post job evaluation.  ,mining,2006
C902974366,"Chroma Oil & Gas, L.P. is a United States-based oil and gas company, provides oil exploration and production services. The Company is engaged in the acquisition, exploitation and exploration of oil and gas located in the on and offshore Gulf Coast trends of Louisiana and Texas. ",mining,
C902975192,"Amromco Energy LLC is a United States-based company, which operates as an independent exploration and production company. The Company identifies, evaluates, and acquires upstream oil and gas projects. It provides workover, drilling, location preparation and natural gas production management services. It enhances existing oil and gas fields in emerging markets such as Romania. It has additional offices in New York, Bucharest and Ploiesti, Romania. ",mining,2003
C902978243,"Nadel and Gussman, LLC is a United States-based independent oil and gas production and exploration company. The Company owns and operates oil and gas production in the United States. Its operating regions include the Mid-continent, ArkLaTex and Permian basin regions.",mining,1999
C902981373,"Provides oil and gas exploration and production services. The Company acquires and explores crude oil properties and produces natural gas. The Company was founded in November 2004 and has offices in Houston, Texas and Harrisville, West Virginia. On July 14 2008 PetroEdge Resources, LLC. has been acquired by Quest Resource Corporation.  ",mining,2004
C903000538,"Comet Ridge Resources, LLC operates oil exploration and drilling. The Company is involved in the discovery and commercialization of natural gas or coal seam gas. The various projects are held under two subsidiaries of Comet Ridge Resources, namely St. Helens Energy, LLC which owns and operates the Grays Harbor project as well as a minority interest in the non-operated Chehalis Basin project in the State of Washington and Pine Ridge Oil & Gas, LLC which owns and operates the Florence project in Colorado. ",mining,2008
C903002347,"Ingrain Inc is a United States-based company, which specializes in the analysis of rock types. The Company offers shale whole core services, which include CoreHD, ReconHD, ZoneID and PoreHD. CoreHD is a technology platform for dual-energy computed tomography (CT) imaging and logging of whole core. ReconHD offers elemental, mineralogical and geochemical from drilling cuttings in log format. Its measurements help discriminate lithology, rock facies, reservoir quality and depositional sequences. Its ZoneID utilizes both CT and search engine marketing (SEM) technologies. PoreHD analysis begins with nanometer-scale focused ion beam (FIB)-SEM pore and matrix imaging in three-dimensional (3D), followed by segmentation, image processing and creation of digital rock volume. The Company's developments in 3D imaging technology provide oil and gas companies with measurements of reservoir rock properties, including porosity, absolute permeability, elastic properties and relative permeability.",mining,2007
C903003420,"BC2 Environmental LLC is a United States-based company that provides environmental and geotechnical drilling services. The Company provides geotechnical drilling services, including soil sampling, groundwater and vapor well installation, direct push sampling and groundwater monitoring. It offers hollow stem auger drilling, air and mud rotary drilling, groundwater well development, purging and sampling of wells, pre-clearing boreholes with air vacuum excavation, hand augering and field work, and subcontracting services.",mining,1993
C903005584,"Royal Offshore explores and develops oil and natural gas. The Company has been operating in the Gulf Coast region for over 30 years and in the Gulf of Mexico for over 10 years. The Company is managed by various Royal entities which are a part of Royal Holding Company, Inc. ",mining,1905
C903011166,"VantaCore Partners, L.P. is a United States-based company that is focused on acquiring aggregate and related businesses in the domestic United States market. Its operation consists of an integrated limestone quarry and dock facility, asphalt plants and commercial asphalt lay down business. The Company also offers a broad range of construction aggregates, standard construction gravel and sand products. The Company also provides dirt or topsoil, 65 / 35 bedding and agricultural lime.",mining,2006
C903012366,"Provides mud logging service. The Company provides well site drilling and formation evaluation services. ILI provides well site geologists, pressure specialists and a data transmission product that delivers real-time data from a well to its customers. ILI, which has a fleet of 90 logging units and more than 400 field geologists worldwide, provides services to major oil companies and national oil companies. The Company also provides Geological consulting and services offered through the Internet.  ",mining,1990
C903013902,"Tejas Research & Engineering, L.P. is a United States-based company that offers choke valves, and engineering and testing services for the oil and gas industry. The Company's products include stem and seat type flow control valves for controlling gas injection; large stem and seat type adjustable choke valves for wellhead production chokes, water or gas injection, and thermal recovery; positive in-line chokes for bi-directional flow in gas storage applications; and electric rotary actuator series and motor valves for intermittent gas lift applications. The Company also provides engineering services to the Oil and Gas industry capable of providing research and development project engineering and management services, feasibility studies and computational analysis. ",mining,1999
C903016381,"Electro-Petroleum, Inc., is a United States-based company, which provides oil recovery technology. The Company has patented technology for a heavy oil recovery process known as Electrically Enhanced Oil Recovery (EEOR). Electrically Enhanced Oil Recovery process involves passing direct current (DC) electricity between cathodes (negative electrodes) in the producing well and anodes (positive electrodes) either at the surface or at depth. Its prevailing methods for heavy oil extraction are steam-based which require massive amounts of water and power, including steam flood, cyclic steam injection, and steam-assisted gravity drainage. ",mining,
C903023859,"Superior Silica Sands, LLC produces sand in North America. The Company offers white sand, mesh frac sand, bunker sand, root zone sand, aerification sand, masonry sand, and equine sand. The Company also provides white silica sand used for golf course bunkers, greens construction, top dressing, and sports field construction. The Company has strategic partnership with flexFrac Proppants. ",mining,2001
C903032018,Luxin Acquisition Corporation produces coking coal for industrial users in the worldwide markets. ,mining,2008
C903043902,Saber Oil & Gas Ventures LLC operates as an oil and gas acquisition and exploitation development company. The Company is a Midland based Permian Basin. ,mining,2008
C903060094,Owns and operates crude oil pipelines. ,mining,
C903062528,"Geo Fossil Fuels LLC provides energy, oil & gas products and services. ",mining,2008
C903070313,Operates as an oil and natural gas exploration and development Company. The Company acquires and develops Vectra's remaining principals' interests in three oil and gas projects in Northern Oaklahoma.  ,mining,2008
C903070532,"Mines and mills industrial minerals. The Company mines high potash Custer feldspar and CusterMica mineral fillers for ceramics, sanitaryware, industrial roof coatings, fire extinguishers, plastics, paints, abrasives, fiber glass and asphalt coatings. The Company maintains ore reserves of potassium feldspar and mica which are dry processed in separate milling facilities with crushing, grinding, screening and air separation equipment.  ",mining,1970
C903070555,"Operates as an oil and natural gas exploration and development Company. The Company explores and develops natural gas reserves in the Anadarko basin. Its primary areas of interests are the Texas Panhandle region, and western Oklahoma. ",mining,2007
C903083370,"C12 Energy, Inc. is a United States-based company, which develops, owns, and operates projects that manage industrial carbon dioxide (CO2). The Company purchases mature oil fields for oil recovery operations, and contracts directly with landowners for carbon dioxide storage rights for storage projects. It develops both oil recovery (EOR) projects and geologic CO2 storage projects. The Company purchases CO2 from suppliers for the oil recovery (EOR) projects, and operates CO2 storage projects to enable those suppliers to monetize incentives as well as to meet CO2 management requirements. The Company is developing 13 sites in ten different states, primarily across the West, Mountain West, and Midwest in United States. ",mining,2008
C903090340,"RWI Construction, Inc. operates as a construction company. The Company provides production and upstream infrastructure services to blue-chip oil and natural gas producers operating in the Permian Basin in Texas and New Mexico. It provides essential above-ground maintenance services for oil and natural gas well-sites, as well as the associated production gathering facilities and pipeline infrastructure. Its services include roustabout, welding, dirt work, backhoes, portable toilets, hot oil service, sandblast, painting and coating and oil field equipment rental services. ",mining,1979
C903094631,Sunterra Resources LLC is a United States-based oil exploration and production company. The Company uses under-balanced drilling techniques and under-balanced horizontal drilling to extract oil and gas from acreage with producing reserves.,mining,
C903103000,"Purchases leases in existing oil & gas fields, where it can apply its methods to increase production. The company also makes acquisitions and exploitations in South and West Texas and the onshore Gulf Coast. ",mining,
C903110432,"Golden Minerals Company is a mining company. The Company owns the Velardena and Chicago precious metals mining properties and associated oxide and sulfide processing plants (the Velardena Properties) in the State of Durango, Mexico, the El Quevar advanced exploration property in the province of Salta, Argentina, and a diversified portfolio of precious metals and other mineral exploration properties located primarily in Mexico. Its two segments include its Velardena Properties in Mexico and non-revenue producing activities, including exploration, construction and general and administrative activities. It focuses on evaluating and searching for mining opportunities in North America (including Mexico) with high precious metal grades with near term prospects of mining, and particularly properties within haulage distances of its Velardena Properties, which may include the Santa Maria Mine, the Santa Rosa vein or the Rodeo property.",mining,2009
C903114733,"Blaschak Coal Corporation offers mines and markets anthracite coal. Its products are used by commercial consumers, including businesses, apartment builders, banks, airports, and ski lodges for manufacturing, high carbon, and backyard barbecue applications; institutional consumers, such as universities, schools, nursing homes, hospitals, and museums; and municipal consumers for water filtration and its ashes for anti-skid material on highways. The Company also provides carbon additives and charge carbons for steel mills; and raw material and manufacturing process carbon, as well as coal stoves, apparel, and hats. ",mining,
